Lemma	POS	Description
communis	24	
communitas	13	
communiter	60	
communitio	13	
commutabilis	24	
commutatio	13	
commutatus	14	
commuto2	51	
como1	51	 (rare)
como2	53	
comoedia	11	
comoedus1	12	
comoedus2	21	
compactio	13	
compactura	11	
compactus	21	 =COAGMENTVS, COLLIGATVS, CONJVNCTVS
compages	13	
compago	13	
compar1	13	 =SOCIVS, SODALIS, CONIVX
compar2	25	
comparatio1	13	 La Comparaison
comparatio2	13	 L'acquisition
comparatus	14	
compareo	52	
comparo2	51	 Comparer
comparo3	51	 Procurer
compedio	54	
compello1	51	
compello2	53	
compendiaria	11	 (Sous-entendu VIA)
compendiarium	12	 (Sous-entendu ITER)
compendiarius	21	
compendium	12	
compendo	53	 (pas de Temps Primitifs)
compensatio	13	
compenso	51	
comperendinatio	13	
comperendinatus	14	
comperendino	51	
comperio	54	
compertus	21	
compesco	53	
competitor	13	
competo	53	
compilatio	13	
compilo1	51	 Piller, Dépouiller
compilo2	51	 (dérivé de PILVS)
compingo1	53	
compingo2	53	 (pas de Supin)
compitum	12	
complano	51	
complecto2	53	
complector	5L	
complementum	12	
compleo	52	
completus	21	 =ABSOLVTVS
complexio	13	
complexus	14	
complico	51	
complodo	53	
comploratio	13	
comploratus	14	
comploro	51	
complures1	13	
complures2	22	
compluries	60	
compluuium	12	
compono	53	
comportatio	13	
comporto	51	
compos	22	
composite	60	
compositio	13	
compositum	12	
compositura	11	
compositus	21	 Ordonné;Elégant;Enclin à;Calme;Feint
comprecor	5J	
comprehendo	53	
comprehensibilis	24	
comprehensio	13	
compressio	13	
compresso	51	
compressus1	14	
compressus2	21	 =ARCTATVS; ASTRICTVS, CONSTRICTVS (terme de la langue MEDICALE)
comprimo	53	
comprobo	51	
compromissum	12	
Compsani	12	
Compsanus	21	
compte	60	
comptulus	21	
comptus1	14	
comptus2	21	 =EXPOLITVS (A propos de 1'ORATIO)
compungo	53	
computatio	13	
computator	13	
computo	51	
computresco	53	
conamen	13	
conarachne	17	
conata	12	 =COEPTA, INCEPTA
conatus	14	
concaedes	13	
concalefacio	55	
concaleo	52	
concalesco	53	
concalleo	52	
concameratio	13	
concamero	51	
concauo1	51	
concauus	21	
concedo1	53	 (pas de Sous-lemme)
concelebro	51	
concentio	13	
concentus	14	
conceptio	13	
concepto	55	
conceptus	14	
concerno	53	
concertator	13	
concerto1	51	
concessio	13	
concessum	12	 =PERMISSIO
concessus	14	
concha	11	
conchis	13	
conchyliatus	21	
conchylium	12	
concido1	53	 (dérivé de CADO) ;pas de Supin
concido2	53	 (dérivé de CAEDO)
concieo	52	
conciliabulum	12	
conciliatio	13	
conciliator	13	
conciliatrix	13	
conciliatura	11	
conciliatus	14	
concilio	51	
concilium	12	
concinnitas	13	
concinno	51	
concinnus	21	
concino	53	
concio	54	 (Uniquement pour les formes de la 4ème Conj.)
concipio	55	
concisura	11	
concisus	21	 =BREVIS, (A propos de l’ORATIO)
concitamentum	12	
concitate	60	
concitatio	13	
concitator	13	
concitatus	21	 Poussé avec violence (propre);Excité (Fig.)
concito1	51	
concitor	13	
conclamatio	13	
conclamo	51	
conclaue	16	
concludo	53	
conclusio	13	
conclusura	11	
conclusus1	14	
conclusus2	21	 Fermé, Clos
concolor	25	
concoquo	53	
concordia	11	
concorditer	6-	
concordo	51	
concors	25	
concredo	53	
concremo	51	
concrepito	51	 (pas de Temps Primitifs)
concrepo	51	
concrescentia	11	
concresco	53	
concretus1	14	
concretus2	21	 =DENSVS (propre);
concrispo	51	
concrucio	51	
concubina	11	
concubinus	12	
concubitus	14	
concubius	21	
conculco	51	
concumbo	53	
concupio	55	 (pas de Temps Primitifs)
concupisco	53	
concupitor	13	
concurro	53	
concursatio	13	
concursator	13	
concursio	13	
concurso	51	
concursus	14	
concussus	14	
concutio	55	
condecoro	51	 (pas de Sous-lemme)
condeliquesco	53	
condemnator	13	
condemno	51	
condenseo	52	
condenso	51	
condensus	21	
condepso	53	
condicio	13	
condico2	53	
condignus	21	
condimentum	12	
condio	54	
condiscipulus	12	
condisco	53	
conditiuum	12	
conditiuus	21	
conditor1	13	 Le Fondateur
conditor2	13	 Celui qui apprête un mets
conditura1	11	 (de CONDO)
conditura2	11	 (de CONDIO)
conditus1	14	 La Fondation
conditus2	14	 L'assaisonnement
conditus3	21	 (dérivé de CONDO)
conditus4	21	 Relevé (propre et Fig.; dérivé de CONDIO)
condo	53	
condocefacio	55	 (forme en 1 ou 2 mots)
condoleo	52	
condolesco	53	 (pas de Parfait)
condonatio	13	
condono	51	
condormio	54	
conduco	53	
conductio	13	
conductor	13	
conductum	12	 =DOMVS CONDVCTA
conduplico	51	
conduro	51	
conecto	53	
confarreatio	13	
confarreo	51	
confectio	13	
confector	13	
confercio	54	
confero	56	
confertim	60	
confertus	21	 Pressé, Serré;Entassé;Plein de
conferuefacio	55	
conferuesco	53	
confessio	13	
confessum	12	 La Chose évidente (Sg.,Pl.)
confessus	21	 Evident;Incontestable
confestim	60	
conficiens	25	 Efficient
conficio	55	
confidens	25	
confidentia	11	
confido	5T	
configo	53	
confine	13	 =RES CONFINIS
confingo	53	
confinis1	13	
confinis2	24	
confinium	12	
confio	56	
confirmatio	13	
confirmatus	21	
confirmo	51	
confiteor	5K	
conflagro	51	
conflicto	51	
conflictus	14	
confligo	53	
conflo	51	
confluens	13	 Le confluent (Sg. et Pl.)
Confluentes	13	
confluo	53	
confodio	55	
conformatio	13	
conformo	51	 (pas de Sous-lemme)
confornicatio	13	
confornico	51	
confragosum	12	 = LOCVS CONFRAGOSVS (Sg.,Pl.)
confragosus	21	
confrico	51	
confringo	53	
confrio	51	
confugio	55	
confulcio	54	
confundo2	53	
confuse	60	
confusio	13	
confusus	21	 = Désordonné (propre);Bouleversé (Fig.)
confuto	51	
confutuo	53	
congelo	51	
congemo	53	
congeries	15	
congero1	13	
congero2	53	
congesticius	21	
congestio	13	
congestus1	14	
congestus2	21	 (Uniquement au Comparatif;=PLENIOR)
congiarium	12	
congiarius	21	
congius	12	
conglobatio	13	
conglobo	51	
conglomero	51	
conglutino	51	
congredior	5N	
congregatio	13	
congrego	51	
congressus	14	
congruens	25	
congruo	53	
congruus	21	
conicio	55	
conicus	21	
coniectio	13	
coniecto	51	
coniectura	11	
coniectus	14	
conifer	21	
coniger	21	
conisterium	12	
coniugalis	24	
coniugator	13	
coniugium	12	
coniugulus	21	
coniuncte	6-	
coniunctim	60	
coniunctio	13	
coniunctum	12	
coniunctus	21	 (A tous les sens du Verbe)
coniungo	53	
coniuolus	21	
coniurati	12	
coniuratim	60	
coniuratio	13	
coniurator	13	
coniuratus	21	
coniuro	51	
coniux	13	
connecto	53	
connexus1	14	
connexus2	21	 (Uniquement au Comparatif)
connitor2	5L	
conniueo	52	
connubium	12	
conopeum	12	
conopium	12	
conor	5J	
conquasso	51	
conqueror	5L	
conquestio	13	
conquiesco	53	
conquiro	53	
conquisitio	13	
conquisitor	13	
conquisitus	21	
consaeptum	12	 Lieu, enclos
consaeptus1	14	
consaeptus2	21	 =C10S
consalutatio	13	
consaluto	51	
consanguinea	11	 =SOROR
consanguinei	12	 Les Parents (au sens large)
consanguineus1	12	 =FRATER
consanguineus2	21	
consanguinitas	13	
consario	54	
consceleratus	21	
conscelero	51	
conscendo	53	
conscientia	11	
conscio	54	
conscisco	53	
conscius	21	
conscribillo	51	
conscribo	53	
conscriptio	13	
conseco	51	
consecratio	13	
consecratus	21	 (Uniquement au Superlatif)
consecro	51	
consectatio	13	
consector2	5J	
consecue	60	
consedo	51	
consenesco	53	
consensio	13	
consensus	14	
consentaneus	21	
consentiens	25	 =CONVENIENS, CONCORS
consentio	54	
consequens1	13	 =CONSEQVENTIA
consequens2	25	 =CONVENIENS; QVOD EX ALIO SEQVITVR
consequor	5L	
consero2	53	 (Parfait:-SERVI)
consero3	53	 (Parfait:-SEVI)
conseruatio	13	
conseruator	13	
conseruo	51	
conseruus1	12	
conseruus2	21	
consessus	14	
consideo	52	
considerantia	11	
considerate	6&	
consideratio	13	
consideratus	21	
considero	51	
Considius	12	
consido	53	
consigno	51	
consiliarius1	12	
consiliarius2	21	
consilior	5J	
consilium	12	
consimilis	24	
consipio	55	
consisto	53	
consitor	13	
consobrinus	12	
consocio	51	
consolatio	13	
consolator	13	
consolido	51	
consolor	5J	
consonanter	6-	
consonantia	11	
consono1	51	
consonus	21	
consopio	54	
consors	25	
consortium	12	
conspectus1	14	
conspectus2	21	 Remarquable (au sens Neutre)
conspergo	53	
conspicio	55	
conspicor	5J	
conspicuum	12	
conspicuus	21	
conspiratio	13	
conspiro1	51	 (Composé de CVM et de SPIRARE)
conspiro2	51	 (dérivé de CVM et de SPIRA)
conspuo	53	
conspurco	51	
constabilio	54	
constans	25	
constanter	60	
constantia	11	
consternatio	13	
consterno1	51	
consterno2	53	
constibilis	24	
constipo	51	
constituo	53	
constitutio	13	
constitutum	12	 =LEX, CONVENTIO
constitutus1	14	
constitutus2	21	 =BENE ORDINATVS ET COMPOSITVS
consto	51	
constratus	21	
constrictus	21	
constringo	53	
constructio	13	
construo	53	
constupro	51	
Consualia	16	
consudo	51	
consuefacio	55	
consuesco	53	
consuetudo	13	
consuetus	21	
consul	13	
consularis1	13	
consularis2	24	
consulatus	14	
consulo	53	
consultatio	13	
consulto1	51	
consulto2	60	
consultor	13	
consultum	12	 =DECRETVM, CONSTITVTIO;CONSULTATION D'ORACLE;SENATVS CONSVLTVM
consultus	21	 =CONSILIO DISCVSSVS (choses)-DOCTVS, PERITVS;Expert en droit
consummabilis	24	
consummatio	13	
consummatus	21	 =PERFECTVS
consummo	51	
consumo	53	
consuo	53	
consurgo	53	
contabulatio	13	
contabulo	51	
contactus	14	
contages	13	
contagio	13	
contagium	12	
contaminatus	21	
contamino	51	
contego	53	
contemero	51	
contemnendus	21	
contemno	53	
contemplatio	13	
contemplatiuus	21	
contemplator	13	
contemplor	5J	
contempte	6&	
contemptim	60	
contemptio	13	
contemptor	13	
contemptrix	13	
contemptus1	14	
contemptus2	21	 Méprisé;Vil, Abject
contendo	53	
contente1	60	 (dérivé de CONTINEO);(pas de degrés de Comparaison)
contente2	60	 (dérivé de CONTENDO)
contentio1	13	 (CVM Intensif)-INTENTIO, CONATVS
contentio2	13	 (CVM Collectif);=COLLATIO, COMPARATIO
contentus1	21	 Content
contentus2	21	 Tendu
conterminum	12	
conterminus1	12	 Le Voisin
conterminus2	21	
contero	53	
conterreo	52	
contestate	60	
contestor	5J	
contexo	53	
contextus1	14	
contextus2	21	
conticesco	53	
contignatio	13	
contigno	51	
contiguitas	13	
contiguus	21	
continens1	13	 Le Continent
continens2	13	 L'Essentiel
continens3	25	 Joint, Voisin;Continu, Cohérent;Abstinent, Sobre
continenter	60	
continentia	11	
contineo	52	
contingo1	53	 Arriver, Toucher
contingo2	53	 Baigner, Teindre
continuatio	13	
continuatus2	21	
continuo1	51	
continuo2	60	
continuus	21	
contio	13	
contionabundus	21	
contionator	13	
contionor	5J	
contorqueo	52	
contra1	60	
contra2	70	
contractabiliter	60	
contracte	6&	
contractio	13	
contracto	51	
contractura	11	
contractus1	14	
contractus2	21	 =BREVIOR FACTVS, ANGVSTVS (Temps et espace au propre)
contradico2	53	 (forme en 1 ou 2 mots)
contradictio	13	
contraho	53	
contralego2	53	 (pas de Temps Primitifs)
contrarie	60	
contrarietas	13	
contrarium	12	 Chose contraire, Opposée (Sg.,Pl.);Dans les locutions avec Prép. (Sg.)
contrarius	21	
contrauersum	60	
contrauerto	53	 (pas de Parfait)
contrecto	51	
contremisco	53	
contremo	53	
contribuo	53	
contrico	51	
contristo	51	
controuersia	11	
controuersiosus	21	
controuersus1	21	
controuersus2	60	
contrucido	51	
contrudo	53	
contubernalis	13	
contubernium	12	
contueor	5K	
contuitus	14	
contumacia	11	
contumaciter	60	
contumax	25	
contumelia	11	
contumeliose	60	
contumeliosus	21	
contundo	53	
contuor	5L	
conturbo2	51	
contus	12	
conualesco	53	 (Parfait-VALVI)
conuallis	13	
conuecto	51	 (pas de Temps Primitifs)
conuector	13	
conueho	53	
conuello	53	
conuena	11	
conueniens	25	 =APTVS, CONCORS
conuenienter	60	
conuenientia	11	
conuenio	54	
conuenticulum	12	
conuentio	13	
conuento	51	
conuentum	12	 =PACTVM (Sg.,Pl.)
conuentus	14	
conuerbero2	51	
conuerro	53	
conuersatio	13	
conuersio	13	
conuerso	51	 (pas de Temps Primitifs)
conuersor	5J	
conuerto	53	
conuestio	54	
conuexum	12	
conuexus	21	
conuiciator	13	
conuicio	51	
conuicior	5J	
conuicium	12	
conuictor	13	
conuictus	14	
conuincio	54	
conuinco	53	 (pas de Sous-lemme)
conuiso	53	
conuiua	11	
conuiualis	24	
conuiuator	13	
conuiuium	12	
conuiuo1	51	
conuiuo2	53	 (pas de Sous-lemme)
conuiuor	5J	
conuoco	51	
conuolo2	51	
conuoluo	53	
conuoluto	51	
conuoluulus	12	
conuomo	53	
conus	12	
conuulnero	51	
cooperio	54	
cooptatio	13	
coopto	51	
coorior	5M	
coortus	14	
cophinus	12	
copia	11	
copiose	60	
copiosus	21	
copula	11	
copulo	51	
copulor	5J	
coquo	53	
coquus	12	
cor	13	
Cora1	11	 =Vrbs
coracinus	21	
coralium	12	
coram1	60	
coram2	70	
corax	13	
Corbio	13	
corbis	13	
corbula	11	
Corcyra	11	
Corcyraei	12	
Corcyraeus	21	
cordax	13	
Corduba	11	
Cordus	12	
coriandrum	12	
Corinthii	12	
Corinthium	12	
Corinthius	21	
Corinthus	12	
Coriolanus	21	
Coriolanus	12	
Corioli	12	
corium	12	
corius	12	
Cornelia	11	
Cornelius	21	
Cornelius	12	
corneusidecorne	21	
corneus2	21	 =AD CORNVM ARBOREM PERTINENS
cornicen	13	
cornicor	5J	
cornicula	11	
Corniculum	12	
Cornificius	12	
corniger	21	
cornipes1	13	 =EQVVS, EQVA
cornipes2	25	
cornix	13	
cornu	14	
cornum1	12	 =CORNV
cornum2	12	 Comouille
cornus	16	
corolla	11	
corollarium	12	
corona	11	
coronamentum	12	
coronarius	21	
corono	51	 (pas de Sous-lemme)
corporalis	24	 (pas de Sous-lemme)
corporatura	11	
corporeus	21	
corpus	13	
corpusculum	12	
corrado	53	
correctio	13	
corrector	13	
correpo	53	
correptio	13	
corrideo	52	
corrigo	53	
corripio	55	
corroboro	51	
corrodo	53	
corrogo	51	
corrotundo	51	
corruda	11	
corrugo	53	
corrumpo	53	
corruo	53	
corruptela	11	
corruptio	13	
corruptor	13	
corruptus	21	 Corrompu (Sens moral);Altéré (à propos de choses)
corsa	11	
cortex	13	
cortina	11	
corusco	51	
coruscus	21	
coruus	12	
coryceum	12	
corylus	12	
corymbus	12	
corytus	12	
cos	13	
cosmeta	11	
Cossura	17	
Cossus	12	
Cossutius	12	
costa	11	
costum	17	
cotes	13	
cothon	17	
cothurnatus	21	
cothurnus	12	
cotidiano	60	
cotidianus	21	 (pas de Sous-lemme)
cotidie	60	
cotoneus	21	
Cotta	11	
cottana	12	
Cottius	12	
coturnix	13	
cotyla	11	
cotytia	12	
couinnarius	12	
coum	12	
coxa	11	
coxendix	13	
coxus	21	
crabro	13	
crambe	17	
crapula	11	
cras1	16	
cras2	60	
crasse	60	
crassitudo	13	
crassus	21	
Crassus	12	
crastinum	12	 =CRASTINVS DIES
crastinus	21	
crater	17	
cratera	11	
crates	13	
craticius	21	
craticula	11	
Cratippus	12	
creator	13	
creatrix	13	
creber	21	
crebra	60	
crebre	60	
crebresco	53	
crebritas	13	
crebro1	51	
crebro2	60	
credibilis	24	
creditor	13	
creditum	12	 (terme de la langue Financière Sg.)
credo	53	
credulitas	13	
credulus	21	
Cremera	11	
cremo	51	
cremor	13	
Cremutius	12	
creo	51	 (pas de Sous-lemme)
crepax	25	
creper	21	
Crepereius	12	
crepida	11	
crepidatus	21	
crepido	13	
crepitacillum	12	
crepito	51	
crepitus	14	
crepo	51	
crepundia	12	
crepusculum	12	
crescentia	11	
cresco	53	
creta	11	
Creta	11	
cretatus	21	
Cretenses	13	
creteus	21	
creticus	21	
cretio	13	
cretosus	21	
cretula	11	
Creusa1	11	 =Mvlier
Creusa2	11	 =Locvs
cribrum	12	
crimen	13	
criminalis	24	
criminatio	13	
criminator	13	
crimino	51	 (pas de Sous-lemme)
criminor	5J	 (pas de Sous-lemme)
criminose	60	
criminosus	21	
crinio	54	
crinis	13	
crinitus	21	
criodocis	17	
crisis	17	
crispo	51	
crispulus	21	
crispus	21	
crisso	51	
crista	11	
cristatus	21	
criticus1	12	
Critolaus	12	
croceus	21	
crocinum	12	
crocinus	21	
crocodilus	17	
crocum	12	
crocus	12	
Croto	17	
cruciabiliter	60	
cruciatus	14	
crucio	51	
crudelis	24	
crudelitas	13	
crudeliter	60	
crudesco	53	
cruditas	13	
crudus	21	
cruente	6&	
cruento	51	
cruentus	21	
crumena	11	
cruor	13	
cruppellarii	12	
crus	13	
crusta	11	
crusto	51	
crustularius	12	
crustulum	12	
crustum	12	
Crustumeria	11	
Crustumerium	12	
Crustumini	12	
Crustuminus	21	
crux	13	
crypta	11	
crystallina	12	
crystallinus	21	
cubicularis	24	
cubicularius1	12	 =SERVVS
cubicularius2	21	
cubiculatus	21	
cubiculum	12	
cubicus	21	
cubile	13	
cubital	13	
cubitalis	24	
cubito	51	
cubitum	12	
cubitus1	14	 Le Coude
cubitus2	14	 L'Action d'être couché
cubo	51	
cubus	12	
cucullio	13	
cucullus	12	
cuculus	12	
cucumis	13	
cucurbita	11	
cucurbitiuus	21	
cudo	53	
cuicuimodi1	66	
cuicuimodi2	67	
cuius1	46	
cuius2	47	
cuiusmodi1	66	 (forme en 1 ou 2 mots)
cuiusmodi2	67	 (forme en 1 ou 2 mots)
cuiusquemodi	60	 (forme en 1 ou 2 mots)
culcita	11	
culco	51	 (Uniquement en Composition)
culearis	24	
culeum	12	
culeus	12	
culex	13	
culigna	11	
culina	11	
culmen	13	
culmus	12	
culo	53	 (Uniquement en Composition)
culpa	11	
culpabilis	24	
culpatus	21	
culpo	51	
culta	12	 =AGRI CVLTI
culte	6&	
cultellus	12	
culter	12	
cultio	13	
culto	51	 (Uniquement en Composition)
cultor	13	
cultrix	13	
cultura	11	
cultus1	14	
cultus2	21	 Cultivé (au propre);Soigné (au Fig.);Erudit
culullus	12	
culus	12	
cum1	60	
cum2	70	
cum3	82	
Cumae	11	
Cumanus	21	
cumbo	53	 (Uniquement en Composition)
cumcumque	60	
cumera1	11	
cuminum	12	
cumprimis	60	 (forme en 1 ou 2 mots)
cumque	60	
cumulate	60	
cumulatus	21	
cumulo	51	
cumulus	12	
cunabula	12	
cunae	11	
cunctabundus	21	
cunctans	25	
cunctanter	60	
cunctatio	13	
cunctator	13	
cunctor	5J	
cunctus	21	 (pas de Sous-lemme)
cuneatim	60	
cuneo	51	
cuneolus	12	
cuneus	12	
cunica	11	
cuniculosus	21	
cuniculus	12	
cunnus	12	
cupa1	11	 Le Tonneau
cupa2	11	
cupedia	11	
cupedo	13	
cupide	60	
cupiditas	13	
cupido	13	
Cupido	13	
cupidus	21	
cupiens	25	 Qui désire (+ Génitif)
cupio	55	
cupitor	13	
cupitum	12	
cupressetum	12	
cupresseus	21	
cupressifer	21	
cupressus	16	
cupula2	11	
cur1	66	
cur2	67	
cura	11	
curabilis	24	
curate	6&	
curatio	13	
curator	13	
curatus1	14	
curatus2	21	 Soigné, Apprêté
curculio	13	
Cures	13	
curia	11	
curialis	24	
Curiatius	12	
curiatus	21	
Curidius	12	
Curio	13	
curiose	60	
curiosus	21	
curo	51	
curriculum	12	
curro	53	 (pas de Sous-lemme)
currus	14	
cursim	60	
cursito	51	
curso	51	
cursor	13	
cursus	14	
Curtius	12	
Curtius2	12	 =Lacvs (locvs)
curtiusin	12	 =Vir
curto	51	
curtus	21	
curuamen	13	
curuatura	11	
curulis	24	
curuo	51	
curuus	21	
cuso	51	 (Uniquement en Composition)
cuspis	13	
custodia	11	
custodio	54	
custos	13	
cuticula	11	
cutio	55	 (Uniquement en Composition)
cutis	13	
cyathus	12	
cybaea	11	
Cyclades	17	 (Ace. CYCLADAS)
cyclas	13	
cyclicos	27	
Cyclops	17	
cyclotos	27	
cycneus	21	
cycnus	12	
cylindrus	12	
cyma1	11	
cyma2	13	
cymatium	12	
cymba	11	
cymbalum	17	
cymbium	12	
cynice	17	
Cynici	12	
Cynicus	21	
cyparissus	12	
cyprius	21	
Cyprius	21	
Cyprus	17	
Cyrus	12	
cytisus	12	
Cyziceni	12	
Cyzicus	17	
daedalus	21	
daemon	17	
dama	11	
damnas	26	
damnatio	13	
damnatorius	21	
damnatus1	14	
damnatus2	21	 Réprouvé
damno	51	
damnose	60	
damnosus	21	 (pas de Sous-lemme)
damnum	12	
dapalis	24	
daps	13	
Dareus	12	
datio	13	
dato	51	
dator	13	
datum	12	 =RES DATA, MVNVS, DONVM (Sg.,Pl.)
de	70	
dea	11	
deacino	51	
dealbo	51	
deambulo	51	
debacchor	5J	
debello	51	
debens	13	 =DEBITOR
debeo	52	 (pas de Sous-lemme DEBITVS)
debilis	24	 (pas de Sous-lemme)
debilitas	13	
debilitatio	13	
debilito	51	 (pas de Sous-lemme)
debitor	13	
debitum	12	 =PECVNIA DEBITAMES DEBITA (Sg.,FL)
decanto	51	
decarpo	53	
decastylus	27	
decedo1	53	 (pas de Sous-lemme)
decem	31	
December	23	
December	13	
decempeda	11	
decemuir	12	
decemuiralis	24	
decennis	24	
decens	25	 =CONVENIENS, APTVS
decenter	60	
decentia	11	
deceptor	13	
deceptorius	21	
decerno	53	 (pas de Sous-lemme DECRETVS)
decerpo	53	
decerto1	51	
decessio	13	
decessor	13	
decessus	14	
decet	52	
decido1	53	 (dérivé de CADO;pas de Supin)
decido2	53	 (dérivé de CAEDO;pas de Sous-lemme)
decies	36	
decima	11	 =PARS DECIMA
decimani	12	 (Sous-entendu MILITES légalement forme DECVMANI
decimanus1	12	
decimanus2	21	
decimus	32	
Decimus	12	
decipio	55	 (pas de Sous-lemme)
decisio	13	
declamatio	13	
declamator	13	
declamatorius	21	
declamo	51	 (pas de Sous-lemme)
declarator	13	
declaro	51	
declinatio	13	
declino	51	
decliue	13	 = Déclivité (Sg.,FI.)
decliuis	24	
decliuitas	13	
decliuus	21	
decocta	11	 =AQVA DECOCTA
decoctior	2&	
decoctor	13	
decoctum	12	 = Décoction
decoctus	21	 =PERFECTVS
decollo	51	
decolo1	51	 (pas de Sous-lemme)
decolor	25	
decoloro	51	
decondo	53	
decoquo	53	
decor	13	
decoratus	21	 = Orné
decore	60	
decoro	51	
decorum	12	 Ce qui convient (Sg.)
decorus	21	
decrepitus	21	
decrescentia	11	
decresco	53	 (pas de Sous-lemme)
decretorius	21	
decretum	12	 Le Décret, Le Dogme (Sg.,Pl.)
decumates	24	
decumbo	53	
decuria	11	
decurialis	24	
decuriatio	13	
decuriatus	14	
decurio1	13	
decurio2	51	 (pas de Sous-lemme)
decurionalis	24	
decurionatus	14	
decurro	53	 (pas de Sous-lemme)
decursio	13	
decursus	14	
decurto	51	
decus	13	
decussatim	60	
decussatio	13	
decussis	16	
decutio	55	 (pas de Sous-lemme)
dedecet	52	 (pas de Sous-lemme)
dedecoro	51	
dedecorus	21	
dedecus	13	
dedicatio	13	
dedicatus	21	 Dédié, Voué
dedico1	51	
dedignatio	13	
dedignor	5J	
dedisco	53	
dediticius1	12	
dediticius2	21	
deditio	13	
deditus	21	 =TOTVS ALICVI TR ADIT V S ;INTENT V S, STVDIOSVS
dedo	53	
dedoceo	52	
dedoleo	52	
deduco	53	
deductio	13	
deductus1	14	
deductus2	21	 =DEMISSVS, SVBMISSVS;SVBTILIS, TENVIS
deerro2	51	
defaecatus	21	
defatigatio	13	
defatigo	51	 (pas de Sous-lemme)
defectio	13	
defector	13	
defectus1	14	
defectus2	21	 =CONFECTVS, DEBILITATVS
defendo	53	 (pas de Sous-lemme)
defensio	13	
defenso	51	
defensor	13	
defero	56	 (pas de Sous-lemme)
deferuefacio	55	
deferueo	52	
defessus	21	
defetiscor	5L	
deficio	55	
defigo	53	 (pas de Sous-lemme)
defingo	53	
definio	54	
definite	60	
definitio	13	
definitiuus	21	
definitus	21	 =FINITVS, DETERMINAT V S
defio	56	
deflagro	51	
deflecto	53	 (pas de Sous-lemme)
defleo	52	 (pas de Sous-lemme)
defloresco	53	
defluo	53	
defodio	55	 (pas de Sous-lemme)
deformatio1	13	 =DESCRIPTIO, FORMA
deformatio2	13	 =DEFORMITAS
deformatus	21	 =PERVERSVS (Fig.)
deformis	24	 (pas de Sous-lemme)
deformitas	13	
deformo1	51	 Dessiner
deformo2	51	 Défigurer
defrico	51	
defringo	53	
defrudo	51	
defruto	51	
defrutum	12	
defugio	55	
defunctus	21	 =MORTVVS
defundo2	53	 (pas de Sous-lemme)
defungor	5L	
defutuo	53	
degener	22	
degenero	51	
degero	53	 (pas de Sous-lemme)
deglubo	53	
dego	53	
degrauo	51	
degredior	5N	
degusto	51	
dehaurio	54	
dehinc	60	
dehisco	53	
dehonestamentum	12	
dehonesto	51	
dehortor	5J	
deicio	55	
deiectio	13	
deiectus1	14	
deiectus2	21	 Bas (propre et Fig.)
Deillius	12	
deinceps	60	
deinde	60	
deiungo	53	
delabor2	5L	 (pas de Sous-lemme)
delapido	51	
delasso	51	
delatio	13	
delator	13	
delectabilis	24	
delectatio	13	
delecto	51	 (pas de Sous-lemme)
delectus	14	 également forme DILECTVS
delegatio	13	
delegatum	12	 =DELEGATIO
delego1	51	 (pas de Sous-lemme)
delenimentum	12	
delenio	54	 (pas de Sous-lemme)
deleo	52	 (pas de Sous-lemme)
Deliacus	21	
deliberatio	13	
deliberatus	21	 =CERTVS
delibero	51	
delibo	51	 (pas de Sous-lemme)
delibro	51	
delibuo	53	
delicata	11	
delicate	60	
delicatus1	12	
delicatus2	21	
delicia1	11	 Les délices
delicia2	11	 Le hoyau
delicio	55	 (pas de Parfait)
deliciolum	12	
delicium	12	
delictum	12	 =PECCATVM, ERRATVM
deliculus	21	
deligo2	51	 (pas de Sous-lemme)
deligo3	53	 (pas de Sous-lemme)
delinquo	53	 (pas de Sous-lemme DELICTVS)
deliquesco	53	 (pas de Supin)
deliquiae	11	
deliratio	13	
deliro	51	 (pas de Sous-lemme)
delirus	21	
deliteo	52	 (pas de Parfait)
delitesco	53	
Delius	21	
Delphi	12	
Delphicus	21	
delphin	17	
delphinus	12	
delubrum	12	
deludo	53	
delumbis	24	
delumbo	51	
Delus	17	
deluto	51	
demano	51	
Demaratus	12	
demens	25	
dementer	60	
dementia	11	
dementio	54	
demereo	52	
demereor	5K	
demergo	53	 (pas de Sous-lemme)
demeto2	53	
Demetrius	12	
demigro	51	
deminuo	53	
deminutio	13	
deminutus	21	 Diminué (Uniquement au Fig.)
demiror	5J	
demisse	60	
demissio	13	
demissus	21	 Tombant;Brisé, Débile (propre et Fig.)
demitto	53	
demiurgus	12	
demno	51	 (Uniquement en Composition)
demo	53	 (pas de Sous-lemme)
Democritus	12	
demolior	5M	 (pas de Sous-lemme)
demolitio	13	
demolitor	13	
demonstratio	13	
demonstro	51	 (pas de Sous-lemme)
demordeo	52	
demorior	5N	
demoror1	5J	
demoueo	52	
demum	60	
demuto2	51	
denarium	12	 =DENARIORVM
denarius1	12	 (SOUS ENTENDU NVMMVS)
denarius2	21	
denarro	51	
denato	51	
denego	51	 (pas de Sous-lemme)
deni	33	
denigro	51	
denique	60	
denomino	51	
denormo	51	
denotatus1	14	
denotatus2	21	 (désigne à (Fig.))
denoto	51	
dens	13	
dense	6-	
denseo	52	
denso	51	
densus	21	
dentale	13	
dentatus	21	
denticulus	12	
denubo	53	
denudo	51	
denuntiatio	13	
denuntio	51	 (pas de Sous-lemme)
denuo1	51	
denuo2	60	
deorsum	60	
depaciscor	5L	
