Lemma	POS	Description
admonitio	13	
admonitor	13	
admonitus	14	
admordeo	52	
admoueo	52	
admugio	54	
admurmuratio	13	
admurmuro	51	
adoleo	52	 (pas de Parfait)
adolescens1	13	
adolescens2	25	
adolescentia	11	
adolescentulus	12	
adolesco1	53	 Grandir
adolesco2	53	 (dérivé de OLEO)
adoperio	54	
adopinor	5J	
adoptatio	13	
adoptio	13	
adoptiuus	21	
adopto	51	
ador	13	
adorea	11	
adoreus	21	
adorior	5M	
adorno	51	
adoro	51	
aduecticius	21	
aduecto	51	 (pas de Temps Primitifs)
aduector	13	
aduectus	14	
adueho	53	
aduehor	5L	
aduelo	51	
aduena	11	
aduenio	54	
aduenticium	12	 (Uniquement dans l'expression EX ADVENTICIO)
aduenticius	21	
aduento	51	
aduentus	14	
aduerro	53	 (Uniquement forme ADVERRENS)
aduersarius1	12	
aduersarius2	21	
aduerso	51	 (Uniquement forme ADVORSAVI)
aduersor	5J	
aduersum	12	 L'autre côté;L'adversité (Sg.,Pf)
aduersus1	21	
aduersus2	60	
aduersus	70	
aduerto	33	
aduesperasco	53	
aduigilo	51	
aduiuo	53	
adulatio	13	
adulator	13	
adulatorius	21	
adulescentia	11	
adulo	51	
adulor	5J	
adulter1	12	
adulter2	21	
adultera	11	
adulterinus	21	
adulterium	12	
adultero	51	
adultus	21	 =QVI CREVIT (propre et Fig., à propos de choses et de personnes)
adumbratim	60	
adumbratio	13	
adumbratus	21	
adumbro	51	
aduncus	21	
aduocatio	13	
aduocatus	12	
aduoco	51	
aduolo2	51	
aduoluo	53	
adurgeo	52	
aduro	53	
adustus	21	
adytum	12	
Aebutius	12	
aedes	13	
aedicula	11	
aedificatio	13	
aedificator	13	
aedificium	12	
aedifico	51	
aedilicius1	12	
aedilicius2	21	
aedilis	13	
aedilitas	13	
aedituens	13	
aeditumus	12	
aedituus	12	
aedon	17	
aegaeus	21	
aeger1	12	
aeger2	21	
Aeginium	12	
aegis	17	
aegre	60	
aegreo	52	
aegresco	53	
aegrimonia	11	
Aegritomarus	12	
aegritudo	13	
aegror	13	
aegrotatio	13	
aegroto	51	
aegrotus	21	
aegrum	12	 Ce qui provoque le chagrin (Uniquement Sg.)
Aegyptius	21	
Aegyptus	12	
aelinos	17	
aelurus	12	
Aemilianus	21	
Aemilius	12	
aemula	11	
aemulatio	13	
aemulator	13	
aemulatus	14	
aemulor	5J	
aemulus1	12	 Le détracteur;L'adversaire;Le rival
aemulus2	21	
Aeneas	17	
aeneator	13	
aeneum	12	
aeneus	21	
aenigma	17	
aenipes	25	
aenum	12	
